TITLE,TAG
"PDM's long march to Islamabad could also be to Rawalpindi: Fazl
",Pakistan 
"FIA arrests Karachi religious teacher for 'blackmailing' minor student using her personal photos
",Pakistan 
"Dec 31 has passed, but opposition lawmakers yet to hand in resignations: FM Qureshi
",Pakistan 
"From the highways to the skies: Pakistan's famous truck art goes airborne
",Pakistan 
"2020 roundup: 33 civilians martyred, 260 injured by Indian shelling in AJK, says minister
",Pakistan 
"Make conscious shopping a part of 2021 — here's a gift guide to get you started
",Pakistan 
"Lahore CCPO Umar Sheikh removed from post
",Pakistan 
"December inflation eases to 8pc
",Business
"Pakistan, India exchange nuclear installations list in annual practice
",World
"Shares at PSX rally on first day of new year
",Business
"Where did all of Deepika Padukone's tweets and Instagram posts go?
",World
"2021 will be year of growth, vows PM Imran
",Pakistan 
"Istanbul’s streets are safe for stray dogs — can Pakistan follow its lead?
",Pakistan 
"Will the PDM succeed in its campaign to force PM Imran out of his office?
",Pakistan 
"The four main mistakes that defined PTI's governance in 2020
",Pakistan 
"Back to a bipolar world?
",World
"Is there something to celebrate in the govt's decision to release the 2017 census resu­lts?
",Business
"The govt has launched key initiatives in some areas but it is lagging behind in others
",Pakistan 
"Editorial: The cancellation of Nawaz Sharif's passport is pure politics and will not impress anyone
",Pakistan 
"Four shot dead over old enmity in Nowshera
",Pakistan 
"JUI-F leaders among 31 arrested over Hindu shrine attack in Karak
",Pakistan 
"Pims employees march towards D-Chowk, stage sit-in
",Pakistan 
"Senate HR body orders fresh inquiry into Christian girl’s abduction
",Pakistan 
"Shujaat asks govt to take opposition along
",Pakistan 
"‘VCs misused emergency powers’: ACE unearths major hiring scam in Punjab public sector varsities
",Pakistan 
"Independent group wins major PBC seats
",Pakistan 
"Covid-19 vaccine is no substitute for precautions, says Dr Zafar Mirza
",Pakistan 
"PTI, MQM-P discuss strategy to jointly contest by-polls in Sindh
",Pakistan 
"Two more test positive for UK Covid-19 variant in Sindh
",Pakistan 
"Australian anthem changed to recognise the Indigenous
",Newspaper 
"‘Most prolific’ serial killer in US history dies
",Newspaper 
"Boris Johnson’s father seeks French citizenship
",Newspaper 
"Airbus-Boeing spat hits new heights at year end
",Newspaper 
"Gibraltar joins Schengen as Spain, UK ink 11th-hour deal
",Newspaper 
"Pakistan name women’s cricket squad for South Africa tour
",Newspaper 
"PCB shortlists nominees for awards
",Newspaper 
"Broken-toe hero Wagner ruled out of final Pakistan Test
",Newspaper 
"Intriguing decider offers CP, KP even chance
",Newspaper 
